date,open,high,low,close
2016-01-01,500.15899658203125,504.666259765625,499.36651611328125,502.9079284667969
2016-01-04,497.7815246582031,502.14019775390625,488.7174377441406,492.9770812988281
2016-01-05,495.4535827636719,500.258056640625,493.819091796875,497.8558349609375
2016-01-06,499.0693359375,514.32470703125,495.50311279296875,511.2538146972656
2016-01-07,505.7311706542969,509.1735534667969,499.2922058105469,501.8677978515625
2016-01-08,505.2110900878906,511.60052490234375,503.57659912109375,508.0591125488281
2016-01-11,503.2051086425781,525.4195556640625,500.75335693359375,520.8627319335938
2016-01-12,522.5467529296875,527.6979370117188,515.6620483398438,517.8165893554688
2016-01-13,521.605712890625,539.7586059570312,518.6834106445312,533.3692016601562
2016-01-14,526.9302368164062,535.4246826171875,521.5809326171875,525.840576171875
2016-01-15,529.8525390625,539.6348266601562,527.7969970703125,531.61083984375
2016-01-18,532.452880859375,536.8858642578125,499.3169860839844,503.65087890625
2016-01-19,509.6688537597656,519.97119140625,502.288818359375,516.9003295898438
2016-01-20,512.5911254882812,512.5911254882812,490.3519592285156,497.55865478515625
2016-01-21,503.99761962890625,508.0591125488281,483.764404296875,487.47918701171875
2016-01-22,492.3579406738281,500.75335693359375,492.3579406738281,497.3605041503906
2016-01-25,500.258056640625,504.59197998046875,495.30499267578125,497.2614440917969
2016-01-27,499.3169860839844,500.258056640625,493.7943115234375,494.9830627441406
2016-01-28,495.80029296875,506.1026611328125,493.8686218261719,503.6756591796875
2016-01-29,504.6910400390625,515.1171875,504.2204895019531,512.8388061523438
2016-02-01,515.0924682617188,516.0087280273438,507.9600524902344,510.312744140625
2016-02-02,510.312744140625,511.5509948730469,490.599609375,495.8746032714844
2016-02-03,489.361328125,492.3331604003906,482.92236328125,486.0923156738281
2016-02-04,489.361328125,495.80029296875,478.3160400390625,481.95654296875
2016-02-05,484.953125,486.3895263671875,476.18621826171875,480.8916320800781
2016-02-08,480.9906921386719,487.7763671875,474.4774169921875,476.01287841796875
2016-02-09,471.97613525390625,479.85150146484375,470.5397644042969,474.2545471191406
2016-02-10,471.38177490234375,481.9317626953125,469.87109375,476.80535888671875
2016-02-11,476.9044189453125,478.43988037109375,453.45172119140625,457.9342346191406
2016-02-12,462.5653381347656,462.5653381347656,439.88037109375,449.01873779296875
2016-02-15,454.69000244140625,471.2084045410156,454.69000244140625,468.9300231933594
2016-02-16,471.0845947265625,474.502197265625,459.1477355957031,460.90606689453125
2016-02-17,463.1596984863281,474.2297668457031,453.8974914550781,471.8275451660156
2016-02-18,476.9539489746094,479.8019714355469,463.60546875,465.63623046875
2016-02-19,465.5867004394531,471.90185546875,464.2741394042969,467.74127197265625
2016-02-22,467.6174621582031,479.60382080078125,467.6174621582031,476.63201904296875
2016-02-23,477.02825927734375,479.0589904785156,466.94879150390625,470.36639404296875
2016-02-24,468.0137023925781,474.77459716796875,466.5773010253906,471.8523254394531
2016-02-25,472.6200256347656,473.78399658203125,466.0077209472656,467.6174621582031
2016-02-26,472.0256652832031,474.8736572265625,467.7165222167969,470.7131042480469
2016-02-29,471.18365478515625,492.63037109375,463.11016845703125,478.7865905761719
2016-03-01,477.82073974609375,487.90020751953125,477.79595947265625,486.04278564453125
2016-03-02,491.788330078125,498.15301513671875,488.9898681640625,496.0479736328125
2016-03-03,500.258056640625,504.2204895019531,494.0667419433594,501.669677734375
2016-03-04,502.2392578125,502.7345886230469,497.03857421875,498.4749450683594
2016-03-08,499.0198059082031,510.60992431640625,499.0198059082031,508.6782531738281
2016-03-09,505.2110900878906,517.0488891601562,504.5176696777344,515.959228515625
2016-03-10,516.132568359375,518.0394897460938,499.76275634765625,501.1248474121094
2016-03-11,502.68505859375,509.9412536621094,500.55523681640625,502.4869384765625
2016-03-14,504.76531982421875,508.38104248046875,501.7192077636719,505.0872802734375
2016-03-15,507.19232177734375,509.0992431640625,502.78411865234375,505.4587707519531
2016-03-16,505.7064208984375,508.0838623046875,498.0044250488281,506.077880859375
2016-03-17,508.6782531738281,513.581787109375,501.2486572265625,503.2298889160156
2016-03-18,504.3443298339844,510.2384338378906,503.081298828125,508.7773132324219
2016-03-21,509.1487731933594,515.8601684570312,506.57318115234375,513.7799072265625
2016-03-22,513.6312866210938,521.1846923828125,512.962646484375,519.00537109375
2016-03-23,518.5347900390625,518.5347900390625,506.39984130859375,509.7679138183594
2016-03-28,510.1641540527344,511.00616455078125,503.0565185546875,505.4092102050781
2016-03-29,507.09326171875,516.1077880859375,505.3101501464844,513.2598266601562
2016-03-30,516.4545288085938,520.93701171875,516.4545288085938,518.609130859375
2016-03-31,515.6124877929688,523.0421142578125,511.50146484375,517.6928100585938
2016-04-01,514.6714477539062,518.2376098632812,507.6876220703125,512.3682861328125
2016-04-04,515.1171875,516.2068481445312,507.8362121582031,512.6654663085938
2016-04-05,510.83282470703125,516.305908203125,506.30078125,508.6534729003906
2016-04-06,511.20428466796875,513.4827270507812,506.4989013671875,512.0215454101562
2016-04-07,512.5911254882812,519.0796508789062,506.2512512207031,513.755126953125
2016-04-08,513.08642578125,522.2743530273438,510.7585144042969,513.309326171875
2016-04-11,513.6312866210938,517.8413696289062,511.6500549316406,515.2658081054688
2016-04-12,515.2658081054688,523.76025390625,514.1513671875,518.782470703125
2016-04-13,521.333251953125,529.9268188476562,521.333251953125,528.0198974609375
2016-04-18,527.8960571289062,528.391357421875,522.744873046875,527.3759765625
2016-04-20,529.5801391601562,529.5801391601562,513.0369262695312,513.7799072265625
2016-04-21,515.8106079101562,521.0608520507812,512.6406860351562,515.6868286132812
2016-04-22,514.6218872070312,518.8319702148438,509.81744384765625,514.5971069335938
2016-04-25,517.3212890625,517.3212890625,501.3972473144531,503.6756591796875
2016-04-26,502.9327087402344,507.1427917480469,499.0198059082031,503.7004089355469
2016-04-27,504.17095947265625,508.1581726074219,503.2298889160156,504.9139099121094
2016-04-28,502.2392578125,504.8148498535156,490.8224792480469,493.6705017089844
